1,Mobile Suit Gundam,TV series,1979,UC 0079
2,Mobile Suit Zeta Gundam,TV series,1985,UC 0087
3,Mobile Suit Gundam ZZ,TV series,1986,UC 0088
4,Mobile Suit Gundam: Char's Counterattack,Movie,1988,UC 0093
5,Mobile Suit SD Gundam,Movie,1988,UNKNOWN
6,Mobile Suit Gundam 0080: War in the Pocket,OVA,1989,UC 0079
7,Mobile Suit Gundam F91,Movie,1991,UC 0123
8,Mobile Suit Gundam 0083: Stardust Memory,OVA,1991,UC 0083
9,Mobile Suit Victory Gundam,TV series,1993,UC 0153
10,Mobile Fighter G Gundam,TV series,1994,Future Century 60
11,Mobile Suit Gundam Wing,TV series,1995,After Colony 195
12,Mobile Suit Gundam: The 08th MS Team,OVA,1996,UC 0079
13,After War Gundam X,TV series,1996,After War 15
14,Gundam Wing: Endless Waltz,OVA,1997,After Colony 196
15,Gundam: Mission to the Rise,Short film,1998,UNKNOWN
16,Turn A Gundam,TV series,1998,Correct Century 2343-5
17,G-Saviour,Live-action TV movie,1999,UC 0223
18,Gundam Neo Experience 0087: Green Diver,Specialty format movie,2000,UC 0087
19,Gundam Evolve,Animated shorts,2001,UNKNOWN
20,Mobile Suit Gundam SEED,TV series,2001,Cosmic Era 71
21,Superior Defender Gundam Force,TV series,2002,UNKNOWN
22,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,OVA,2003,UC 0079
23,Mobile Suit Gundam SEED Destiny,TV series,2004,Cosmic Era 73
24,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,OVA,2006,UC 0079
25,Mobile Suit Gundam SEED C.E. 73: Stargazer,ONA,2006,Cosmic Era 73
26,Mobile Suit Gundam 00,TV series,2007,Anno Domini 2307
27,Mobile Suit Gundam MS IGLOO 2: Gravity Front,OVA,2009,UC 0079
28,Mobile Suit Gundam Unicorn,TV series,2010,UC 0096
29,SD Gundam Sangokuden Brave Battle Warriors,Movie,2010,UNKNOWN
30,Mobile Suit Gundam 00 the Movie: A Wakening of the Trailblazer,Movie,2010,Anno Domini 2314
31,Model Suit Gunpla Builders Beginning G,Specials,2011,Our Century
32,Mobile Suit Gundam AGE,TV series,2013,Advanced Generation 115-164
33,Gundam Build Fighters,TV series,2014,Our Century
34,Mobile Suit Gundam-san,TV series,2014,UNKNOWN
35,Gundam Reconguista in G,TV series,2015,Regild Century 1014
36,Gundam Build Fighters Try,TV series,2015,Our Century
37,Mobile Suit Gundam: The Origin,TV series,2015,UC 0068
38,Mobile Suit Gundam: Iron-Blooded Orphans,ONA,2017,Post Disaster 323
39,Mobile Suit Gundam Thunderbolt,ONA,2017,UC 0079
40,Mobile Suit Gundam: Twilight AXIS,ONA,2017,UC 0096
41,Gundam Build Fighters: Battlogue,TV series,2017,Our Century
42,Gundam Build Fighters: GM's Counterattack,Movie,2018,Our Century
43,Gundam Build Divers,ONA,2018,Our Century
44,Mobile Suit Gundam Narrative,ONA,2019,UC 0097
45,SD Gundam World Sangoku Soketsuden,OVA,2019,UNKNOWN
46,Gundam Build Divers Re:Rise,ONA,2020,Our Century
47,Gundam Build Divers: Battlogue,ONA,2021,Our Century
48,Gundam Build Real,Live-action Net Drama,2021,Our Century
49,SD Gundam World Heroes,ONA,2021,UNKNOWN
50,Mobile Suit Gundam: Hathaway,Movie,2021,UC 0105
51,Gundam Breaker Battlogue,ONA,2021,Our Century
52,Mobile Suit Gundam: Cucuruz Doan's Island,Movie,2022,UC 0079
53,Mobile Suit Gundam: The Witch from Mercury,TV series,2022,UNKNOWN
