1,∀ Gundam,Turn A Gundam,2.5
2,age-1 gundam,Mobile Suit Gundam AGE,4.5
3,ball,Gundam Evolve,4
4,ball mkII,Mobile Suit Gundam,5
5,barbatos gundam,Mobile Suit Gundam: Iron-Blooded Orphans,3
6,beginning gundam,Model Suit Gunpla Builders Beginning G,5
7,blazing gundam,Gundam Breaker Battlogue,5
8,bugu,Mobile Suit Gundam: The Origin,4
9,build strike gundam,Gundam Build Fighters,5
10,captain gundam,Superior Defender Gundam Force,4.5
11,core gundam II,Gundam Build Divers Re:Rise,4
12,destiny gundam,Mobile Suit Gundam SEED Destiny,5
13,double x gundam,After War Gundam X,5
14,freedom gundam,Mobile Suit Gundam SEED,5
15,full armor gundam,Mobile Suit Gundam Thunderbolt,5
16,gm II,Gundam Neo Experience 0087: Green Diver,4.5
17,god gundam,Mobile Fighter G Gundam,5
18,g-saviour gundam,G-Saviour,3
19,g-self gundam,Gundam Reconguista in G,3.5
20,gundam,Mobile Suit Gundam,5
21,gundam aerial,Mobile Suit Gundam: The Witch from Mercury,2
22,gundam alex,Mobile Suit Gundam 0080: War in the Pocket,4
23,gundam an-01 tristan,Mobile Suit Gundam: Twilight AXIS,5
24,gundam ez-8,Mobile Suit Gundam: The 08th MS Team,4
25,gundam F91,Mobile Suit Gundam F91,5
26,gundam gp01,Mobile Suit Gundam 0083: Stardust Memory,4.5
27,gundam OO driver,Gundam Build Divers,5
28,hi-v gundam,Mobile Suit Gundam: Char's Counterattack,5
29,hizack,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,2.5
30,jegan,Mobile Suit Gundam: Hathaway,5
31,liu bei unicorn gundam,SD Gundam World Sangoku Soketsuden,4
32,narative gundam,Mobile Suit Gundam Narrative,4
33,neo zeong,Gundam Build Divers: Battlogue,2.5
34,O gundam,Mobile Suit Gundam 00,5
35,OO qan[T],Mobile Suit Gundam 00 the Movie: A Wakening of the Trailblazer,4
36,perfect gundam,Gundam Build Fighters: GM's Counterattack,5
37,red zaku,Mobile Suit Gundam MS IGLOO 2: Gravity Front,3.5
38,Reversible gundam,Gundam Build Fighters: Battlogue,5
39,ryuubi gundam,SD Gundam Sangokuden Brave Battle Warriors,2
40,sd gundam,Mobile Suit SD Gundam,5
41,star burning gundam,Gundam Build Fighters Try,4
42,strike noir gundam,Mobile Suit Gundam SEED C.E. 73: Stargazer,5
43,unicorn gundam,Mobile Suit Gundam Unicorn,4
44,victory gundam,Mobile Suit Victory Gundam,3.5
45,wing gundam,Mobile Suit Gundam Wing,5
46,wing gundam zero,Gundam Wing: Endless Waltz,3
47,zaku,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,5
48,zaku I,Mobile Suit Gundam: Cucuruz Doan's Island,4.5
49,zaku II,Gundam: Mission to the Rise,5
50,zaku II high mobility type,Gundam Build Real,4
51,zeta gundam,Mobile Suit Zeta Gundam,5
52,zhang liao sazabi,SD Gundam World Heroes,4.5
53,zz gundam,Mobile Suit Gundam ZZ,4.5
